Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,5.0,-7.8326826652518236,-0.09449130223985372,-8.01500000000016,-0.1510821363236067
-3.0,6.0,-7.8326826652518236,-0.13403177321001006,-9.79500000000044,-0.1267844728483766
-3.0,1.1999999999996949,-7.8326826652518236,-0.007884875252457652,-0.8900000000003062,-0.4450959340326573
-3.0,2.199999999999969,-7.8326826652518236,-0.014124094650718375,-1.9600000000002855,-0.3544889787715018
-3.0,3.199999999999996,-7.8326826652518236,-0.028492664529400087,-3.6750000000002494,-0.27142998067727014
-3.0,4.199999999999999,-7.8326826652518236,-0.0585079218550828,-5.9850000000002,-0.19833871871318887
-3.0,5.2,-7.8326826652518236,-0.10366218070538018,-8.46500000000023,-0.14343550038440556
-3.0,0.3999999999983436,-7.8326826652518236,-0.005673775343675135,-0.42500000000030586,-0.48304724427266477
-3.0,1.4000000000000725,-7.8326826652518236,-0.008735473261785377,-1.055000000000305,-0.4297609602860944
-3.0,2.4000000000000727,-7.8326826652518236,-0.01615338873019748,-2.25500000000028,-0.33533987399309956
-3.0,3.4000000000000035,-7.8326826652518236,-0.03296521578449075,-4.0900000000002406,-0.25700263414046415
-3.0,4.4,-7.8326826652518236,-0.06686455585391353,-6.505000000000188,-0.1843037098395634
-3.0,5.4,-7.8326826652518236,-0.1123664208177655,-8.870000000000294,-0.13745277339769563
-3.0,0.5999999999961848,-7.8326826652518236,-0.006085330353681883,-0.5200000000003059,-0.4758613179173561
-3.0,1.5999999999994576,-7.8326826652518236,-0.009751923864324991,-1.245000000000301,-0.4120489128320858
-3.0,2.600000000000003,-7.8326826652518236,-0.018545944874812915,-2.570000000000273,-0.3180879160112827
-3.0,3.600000000000003,-7.8326826652518236,-0.0381466901581024,-4.530000000000231,-0.2424467151421757
-3.0,4.6000000000000005,-7.8326826652518236,-0.07580958708375063,-7.025000000000178,-0.17153843449324502
-3.0,5.6000000000000005,-7.8326826652518236,-0.12040406338242485,-9.22500000000035,-0.13289764475421054
-3.0,0.7999999999998669,-7.8326826652518236,-0.006580183167914986,-0.625000000000306,-0.4679971007917057
-3.0,1.799999999999867,-7.8326826652518236,-0.010964838286340614,-1.4550000000002965,-0.39373098264127776
-3.0,2.8000000000000047,-7.8326826652518236,-0.021356929252752555,-2.9150000000002656,-0.3015358242144627
-3.0,3.7999999999999976,-7.8326826652518236,-0.04410893593546649,-4.995000000000222,-0.2276478890073856
